Liadov, Anatoly;4 Preludes, Op.13;11804
Liadov, Anatoly;3 Preludes, Op.27;11805
Liadov, Anatoly;3 Preludes, Op.36;11806
Liadov, Anatoly;4 Preludes, Op.39;11807
Liadov, Anatoly;4 Preludes, Op.46;11808
Liadov, Anatoly;The Procession;11809
Liadov, Anatoly;8 Russian Folksongs, Op.58;11810
Liadov, Anatoly;Sarabande;11811
Liadov, Anatoly;String Quartet on the theme 'B la F' (2nd movement);11812
Liadov, Anatoly;Variations on a Popular Polish Theme, Op.51;11813
Liadov, Anatoly;Variations on a Russian Theme;11814
Liadov, Anatoly;Variations on a Theme of Glinka, Op.35;11815
Liadov, Anatoly;The Enchanted Lake, Op.62;11816
Liadov, Anatoly;Paraphrases;26151
Liadov, Anatoly;Les vendredis / Pyatnitsi / Fridays;27095
Liadov, Anatoly;Dance of the Amazon, Op.65;28284
Libon, Felipe;30 Caprices, Op.15;11817
Libon, Felipe;Grand Concertant Duos, Op.4;11818
Lichner, Heinrich;Bunte Blumen, Op.111;11819
Lichner, Heinrich;12 Characteristic Pieces;28285
Lichner, Heinrich;Musikalische Lebensbilder, Op.78;28286
Lichner, Heinrich;Piano Sonatinas, Op.4;28287
Lidel, Andreas;3 Quintets for Flute and Strings, Op.5;48
Liebling, Emil;Concert Polonaise;11820
Liebling, Emil;Florence, Grande valse brillante;28288
Liebling, Emil;Momento appassionato, Op.24;28289
Liégeois, Cornélis;Resignation, Op.14;11821
Liégeois, Cornélis;6 Grand Duos for 2 Cellos, Op.9;24140
Lifram, Gizik;Short Dance in C major;11822
Lilienthal, Abraham Wolf;Cello Sonata Op.40;11823
Liliuokalani;Farewell to Thee;11824
Limbert, Frank L.;Viola Sonata, Op.7;11825
Limmer, Franz;Grand Quintuor pour le Pianoforte avec Accompagnement de Violon, Viola, Violoncelle et Basse;11826
Limmer, Franz;Trio pour 3 Violoncelles, Op.12;24141
Limmer, Matthias;Choralvorspiel zu 'Herr, ich bin Dein Eigentum';11828
Lincke, Paul;Lysistrata;11829
Lincoln, Harry J.;False Alarm;11830
Lincoln, Harry J.;The Fire Master;11831
Lincoln, Harry J.;I-X-L;11832
Lincoln, Harry J.;A Song of the South;24142
Lincoln, Harry J.;Sunset Limited;24143
Lincoln, Harry J.;Vesuvius;24144
Lincoln, Harry J.;Blaze of Honor;28290
Lincoln, Harry J.;The Tournament;28291
Lindblad, Adolf Fredrik;Quintet for 2 Violins, 2 Violas, and Cello;11833
Lindblad, Adolf Fredrik;Piano Trio, Op.10;28292
Lindegren, Johan;Piano Sonata, Op.2;11834
Lindeman, Ludvig Mathias;Eldre og nyere Norske fjeldmelodier;11835
Lindeman, Ludvig Mathias;Eldre og nyere Norske fjeldmelodier;28293
Lindley, Robert;3 Duets for 2 Cellos;11836
Lindner, August;Cello Concerto in E, Op.34;11837
Lindner, August;6 Morceaux de Salon for Cello, Op.18;11838
Lindner, August;Sonata by Corelli, Op.36 No.1;11839
Lindner, Paul;2 kleine lyrische Stücke;11840
Lindner, Paul;An den Frühling;28294
Lindpaintner, Peter Joseph von;Der Vampyr;11841
Lindpaintner, Peter Joseph von;Württembergisches Vaterlandslied;11842
Lindpaintner, Peter Joseph von;3 Grands trios, Op.52;28295
Lingenberg, Wilfried;Intermezzo;11843
Linley, Thomas;The Duenna, or Double Elopement;11844
Lipatti, Dinu;Concertino in the Classical Style, Op.3;11845
Lipatti, Dinu;Danses roumaines;11846
Lipatti, Dinu;Sonatine pour piano (main gauche seule);11847
Lipatti, Dinu;Transcription of J.S. Bach's Organ Pastorale in F, BWV 590;11848
Lipatti, Dinu;Two Transcriptions (of Bach's Cantatas);11849
Lipatti, Dinu;Concertino im klassischen Stil;28297
Lipatti, Dinu;Sonatina for the Left Hand;28298
Lipiński, Karol Józef;Militar concerto;11850
Lipiński, Karol Józef;Impromptu for Solo Violin;11851
Lipiński, Karol Józef;2 Impromptus for Solo Violin, Op.34 ;11852
Lipiński, Karol Józef;Rondo alla Polacca, Op.7;11853
Lipiński, Karol Józef;Violin Concerto No.3, Op.24;11854
Lipiński, Karol Józef;String Trio No.1, Op.8;28299
Lipiński, Karol Józef;String Trio No.2, Op.12;28300
Liszt, Franz;A la Chapelle Sixtine ;11855
Liszt, Franz;Ab irato;11856
Liszt, Franz;Abschied;11857
Liszt, Franz;Air du Stabat Mater, S.682;11860
Liszt, Franz;Album d'un voyageur;11862
Liszt, Franz;Allegro di bravura;11863
Liszt, Franz;Am Grabe Richard Wagners;11865
Liszt, Franz;An den heiligen Franziskus von Paula;11868
Liszt, Franz;Andante Finale und Marsch aus der Oper König Alfred;11869
Liszt, Franz;Andantino pour Emile et Charlotte Loudon;11870
Liszt, Franz;Anfangs wollt' ich fast verzagen;11871
